Date,Open,High,Low,Close,Adj Close,Volume
10/3/2016,519.049988,520.400024,513.25,518.924988,446.040192,183024
10/4/2016,520,525.549988,519,524.400024,450.746277,219896
10/5/2016,524.349976,524.75,518.5,520.575012,447.458466,127792
10/6/2016,520.5,520.575012,512.5,513.325012,441.226807,223030
10/7/2016,515,516.375,505.024994,506.325012,435.209961,775506
10/10/2016,507.274994,516,505,514.775024,442.473114,415070
10/13/2016,514.724976,528.75,512.275024,526.025024,452.143097,701788
10/14/2016,530,540.349976,498.075012,513.700012,441.549103,3713156
10/17/2016,518,520.875,508.950012,511.024994,439.249786,467654
10/18/2016,515,519.950012,513.700012,519.099976,446.190674,279934
10/19/2016,521,522.525024,517.5,520.799988,447.651855,252370
10/20/2016,520.549988,524.974976,517.5,518.474976,445.653442,213322
10/21/2016,517.5,520.5,512.525024,519.049988,455.818359,140864
10/24/2016,520,521,513.5,514.5,451.822662,151990
10/25/2016,514.950012,517.950012,507.75,508.674988,446.707275,225310
10/26/2016,510,510.299988,505.049988,507.424988,445.609528,285510
10/27/2016,507.950012,509.899994,502.174988,503.075012,441.78949,243686
10/28/2016,503.5,504.899994,497,498.725006,437.969421,473538
11/1/2016,504.924988,504.924988,493,494.424988,434.193207,460658
11/2/2016,494,494,490,490.549988,430.790283,282598
11/3/2016,492.25,492.25,482.549988,483.450012,424.555267,418810
11/4/2016,483.450012,489.424988,481,485.399994,426.267639,406896
11/7/2016,491.125,495,487.799988,489.375,429.758453,213416
11/8/2016,493.024994,495,485.475006,491.399994,431.536743,294210
11/9/2016,470,486.850006,450.149994,477.924988,419.703278,816640
11/10/2016,480.524994,482.600006,467.5,469.299988,412.128967,542896
11/11/2016,470,471,459.5,460.924988,404.774261,431212
11/15/2016,461,469,454.774994,462.375,406.047607,489250
11/16/2016,463.049988,478.350006,463.049988,470.049988,412.787628,364868
11/17/2016,467.399994,474.5,463.125,464.774994,408.155243,271942
11/18/2016,464.899994,466.450012,459,459.899994,403.874146,208634
11/21/2016,465.450012,465.450012,453.375,455.575012,400.076019,264722
11/22/2016,460.875,464,456,456.975006,401.30545,206896
11/23/2016,462,462,456.600006,460.25,404.181519,342490
11/24/2016,461.649994,470,461.450012,466.350006,409.538452,701266
11/25/2016,465.149994,492.450012,465.149994,488.649994,429.121765,793304
11/28/2016,497.399994,497.399994,485.325012,489.825012,430.153595,751482
11/29/2016,491.5,491.725006,483.700012,486.325012,427.080017,219656
11/30/2016,485,488.75,481,487.725006,428.309418,283270
12/1/2016,488,492,484.725006,488.024994,428.572845,199366
12/2/2016,484.5,484.950012,480.5,482.049988,423.325775,179072
12/5/2016,482.5,484.100006,478.950012,480.700012,422.140259,171756
12/6/2016,483.25,489.350006,481.350006,483.475006,424.577148,224978
12/7/2016,483.600006,486.299988,480.450012,483.299988,424.423462,246150
12/8/2016,483.299988,493.899994,483.299988,492.375,432.392944,171652
12/9/2016,493.25,503.524994,491.5,493.674988,433.534576,380888
12/12/2016,490.5,490.75,482.725006,488.75,429.209534,367306
12/13/2016,488.5,495.924988,486.75,495.024994,434.720123,235684
12/14/2016,495.774994,502,492,499.524994,438.671936,662176
12/15/2016,498.950012,509.450012,495,496.625,436.125214,518290
12/16/2016,499.600006,504.5,499,502.100006,440.933228,225466
12/19/2016,502.5,503.024994,497.100006,501.100006,440.055115,160082
12/20/2016,499,509.475006,499,505.200012,443.655609,258020
12/21/2016,507.5,510.475006,500.524994,501.850006,440.713684,235178
12/22/2016,501.450012,503.450012,485.100006,492.600006,432.590546,697086
12/23/2016,490.674988,503.299988,487.5,494.649994,434.390839,309358
12/26/2016,494.5,496.924988,488,491.5,431.624573,215496
12/27/2016,491.549988,501.450012,491.125,499.625,438.759735,265036
12/28/2016,499.75,504.875,497.600006,499.575012,438.715851,904866
12/29/2016,500,503.725006,493.200012,497.049988,436.498444,330410
12/30/2016,497.625,506,496.5,505.350006,443.787323,435362
1/2/2017,506,506.549988,500,500.799988,439.791595,149166
1/3/2017,501.174988,502.950012,490.399994,497.325012,436.73999,836682
1/4/2017,497.299988,501.649994,496.850006,499.149994,438.342621,285694
1/5/2017,499.5,504.5,494.549988,498.200012,437.508331,1041350
1/6/2017,496.5,499.475006,484.225006,485.725006,426.55307,1775486
1/9/2017,487,488.424988,482.5,485.274994,426.157867,514348
1/10/2017,488.125,490.475006,484,485.299988,426.17984,915238
1/11/2017,489,489,482,484.5,425.477295,386514
1/12/2017,486.125,502.200012,486.125,500.024994,439.110992,523522
1/13/2017,513.174988,522.5,482,487.575012,428.177734,2533116
1/16/2017,482.5,482.75,476.25,477.850006,419.637421,549810
1/17/2017,479.899994,482.375,477,478.024994,419.791077,422168
1/18/2017,479,480.5,475,475.450012,417.529785,322052
1/19/2017,475.5,480.149994,474.799988,479.274994,420.888855,569266
1/20/2017,476.5,477.5,473,474.399994,416.607697,442096
1/23/2017,473.5,478.75,469.75,475.875,417.902985,354426
1/24/2017,476.424988,476.5,470.075012,472.549988,414.983063,251256
1/25/2017,474.375,475,467.5,468.325012,411.272797,445980
1/27/2017,467.5,474,463.200012,471.075012,413.687775,638822
1/30/2017,469.350006,475.950012,464.825012,474.174988,416.410095,984710
1/31/2017,471.950012,473.5,452.5,464.649994,408.045502,1741710
2/1/2017,460.950012,461.600006,453,458.274994,402.447052,668214
2/2/2017,458,472.600006,455.5,467.674988,410.701935,914706
2/3/2017,467,470.350006,460.75,467.475006,410.526337,676650
2/6/2017,469.5,470.825012,465.5,467.225006,410.306763,413250
2/7/2017,467.450012,474.700012,464.524994,472.375,414.829407,508904
2/8/2017,470,471.975006,466.174988,468.225006,411.184967,378678
2/9/2017,468,474.950012,468,474.049988,416.300323,661350
2/10/2017,472.5,485.899994,472,484.024994,425.06015,2370062
2/13/2017,487.5,492.5,481.549988,491.75,431.844116,946460
2/14/2017,491.274994,494.25,486.350006,493.649994,433.512665,1006810
2/15/2017,491.075012,499,484.950012,491.174988,431.339111,589518
2/16/2017,496,507.399994,495,505.950012,444.314209,748136
2/17/2017,505.950012,506.024994,496.700012,499.850006,438.957336,315124
2/20/2017,499.450012,514.049988,496.75,505.850006,444.22644,268084
2/21/2017,510,512.400024,500.049988,506.475006,444.775269,527326
2/22/2017,506.350006,507.5,494.125,495.924988,435.510468,328246
2/23/2017,495.5,509.950012,495.5,504.524994,443.062775,402946
2/27/2017,502.75,511.225006,502.75,506.375,444.687439,307630
2/28/2017,505.5,510.924988,504.5,506.149994,444.489868,161744
3/1/2017,507.299988,513.099976,505.899994,512.5,450.066315,305380
3/2/2017,512.5,513.950012,508.049988,510.325012,448.15625,192436
3/3/2017,505.049988,517.125,500.25,515.575012,452.766663,372816
3/6/2017,509.899994,517.950012,509,516.924988,453.95224,310080
3/7/2017,512,512.75,507.5,509.850006,447.739105,238932
3/8/2017,510,510,502.125,503.625,442.27243,225212
3/9/2017,503.625,506.5,499.5,505.799988,444.182495,184560
3/10/2017,505.850006,513.75,505.850006,510.049988,447.914734,339350
3/14/2017,516.25,520.875,511.825012,517.5,454.457184,338488
3/15/2017,517.5,517.5,504,506.049988,444.402039,223702
3/16/2017,506,516,506,514.25,451.603058,206790
3/17/2017,517.5,521.25,510.225006,520,456.652618,222074
3/20/2017,514.5,514.5,507.950012,510.299988,448.134308,274124
3/21/2017,510.5,517.400024,509.450012,516,453.139923,202336
3/22/2017,510,519.5,510,513.900024,451.295715,232136
3/23/2017,514,521.275024,513.275024,520.299988,456.916077,214376
3/24/2017,520.200012,521.974976,513,515.900024,453.052094,277458
3/27/2017,516.5,520.974976,512.150024,514.400024,451.734833,501334
3/28/2017,513.125,519.375,513.125,517.549988,454.501099,142376
3/29/2017,517.5,520.25,512.924988,515.674988,452.854492,683436
3/30/2017,517.099976,517.924988,510.049988,512.25,449.846741,278044
3/31/2017,513,514.400024,504.899994,510.399994,448.222107,633410
4/3/2017,513.549988,515.25,503.274994,504.725006,443.238495,314934
4/5/2017,502.5,503,495.5,497.700012,437.069275,350290
4/6/2017,497.549988,502.899994,496,499.575012,438.715851,179094
4/7/2017,500,500,489.5,490.625,430.85614,429724
4/10/2017,491,495.5,475,476.475006,418.429901,663532
4/11/2017,477.5,485.600006,477.5,483.575012,424.664978,315436
4/12/2017,486,488.024994,480.524994,484.399994,425.389496,424198
4/13/2017,487,495.475006,463.5,465.700012,408.96759,3105136
4/17/2017,466,466.174988,460.950012,462.399994,406.069519,560292
4/18/2017,462.5,467,459.774994,461.200012,405.015808,541460
4/19/2017,464.899994,464.899994,456,459.399994,403.435028,617536
4/20/2017,460,464.899994,459.524994,463.825012,407.320953,374244
4/21/2017,467.100006,467.100006,460.649994,461.850006,405.586578,276078
4/24/2017,459.399994,464,456.5,463.024994,406.618378,394564
4/25/2017,464.899994,466.5,460.25,464.5,407.913727,323832
4/26/2017,466.5,467.350006,455.200012,457.024994,401.349304,531640
4/27/2017,460,463.225006,458,461.975006,405.696381,253232
4/28/2017,462.524994,463.25,458.450012,459.700012,403.698517,207394
5/2/2017,462.399994,462.875,457.825012,460.5,404.401031,155490
5/3/2017,462.149994,469.399994,459.100006,467.825012,410.83371,448300
5/4/2017,467.5,469.600006,464.575012,468.149994,411.119049,212092
5/5/2017,468,468.200012,460.625,465.75,409.011414,215106
5/8/2017,468,474.225006,466.375,472.725006,415.136749,307532
5/9/2017,474.950012,475.5,471.125,473.350006,415.685608,402626
5/10/2017,473.5,474.850006,468.600006,471.600006,414.148834,159882
5/11/2017,472.5,474.350006,468.875,471.924988,414.434235,129714
5/12/2017,475,482.850006,475,481.950012,423.237976,1678658
5/15/2017,482.5,482.850006,474.625,475.975006,417.990845,300740
5/16/2017,476,480.075012,474,478.25,419.988708,253142
5/17/2017,477.5,479.149994,472.100006,476.100006,418.100586,2786304
5/18/2017,474.5,486.924988,472,480.850006,422.271942,1325246
5/19/2017,478,481.375,473.899994,478.950012,420.603424,246164
5/22/2017,478.899994,483.25,478.274994,479.875,421.415771,484346
5/23/2017,481.5,483.375,476.924988,478.700012,420.383881,1426220
5/24/2017,478.575012,482.649994,475.200012,476.774994,418.69339,284144
5/25/2017,479.950012,492.450012,479.950012,490.950012,431.141602,415768
5/26/2017,490,500,490,498.100006,437.420532,368118
5/29/2017,496.350006,498.424988,488,492.649994,432.634491,705104
5/30/2017,492.649994,500,489.924988,498.225006,437.530304,183094
5/31/2017,495.575012,496.075012,487.549988,488.475006,428.968048,206230
6/1/2017,484.5,489.774994,479.674988,485.475006,439.607941,206224
6/2/2017,485.475006,487.549988,482.5,484.725006,438.928802,613410
6/5/2017,484.5,484.875,479.125,480.100006,434.740753,440632
6/6/2017,482.5,493.424988,482.5,489.725006,443.45639,1335798
6/7/2017,491.024994,494.350006,472.75,480.75,435.329376,916686
6/8/2017,480.549988,482.350006,474.5,478.149994,432.974945,1218732
6/9/2017,470,476,461.524994,474.325012,429.511353,2058384
6/12/2017,471.5,483.350006,470,481.899994,436.370728,434912
6/13/2017,479.850006,481.5,476.174988,479.100006,433.835236,203746
6/14/2017,478.5,480.975006,475.75,479.325012,434.039001,351384
6/15/2017,477.5,483.5,475,476.149994,431.164001,401220
6/16/2017,475.950012,476.450012,468,470.25,425.82135,326912
6/19/2017,469.299988,470.225006,464,464.725006,420.818359,254052
6/20/2017,467.5,473.5,467.075012,471.899994,427.31546,296578
6/21/2017,471.75,474.5,468.25,471.975006,427.383423,185100
6/22/2017,472.5,484.149994,467.924988,470.149994,425.730835,553904
6/23/2017,470,474.399994,469.274994,471.674988,427.111725,198992
6/27/2017,472.024994,473.475006,462,463.174988,419.414795,337402
6/28/2017,465.149994,466.274994,460.600006,462.200012,418.531952,859404
6/29/2017,463.5,473.649994,462.649994,464.75,420.841003,369932
6/30/2017,463.674988,468.950012,463.5,467.825012,423.625519,159304
7/3/2017,467.5,477,467.5,475.700012,430.75647,240350
7/4/2017,477.5,483.899994,474.850006,480.25,434.876648,226438
7/5/2017,477.799988,479.200012,473.325012,475.524994,430.597961,190342
7/6/2017,473,478.5,472.149994,473.75,428.990692,190270
7/7/2017,472.5,473.5,467.200012,468,423.783936,339844
7/10/2017,472.5,480.225006,470,479.524994,434.220093,2215488
7/11/2017,477.5,494.450012,477.5,487.899994,441.803833,546874
7/12/2017,488,490.274994,484.774994,486.899994,440.898346,278426
7/13/2017,486.975006,491.674988,482.5,488.149994,442.030212,648690
7/14/2017,500,503.325012,484,486.024994,440.105927,1370874
7/17/2017,486.625,495.600006,486.625,492.674988,446.127686,340670
7/18/2017,492.450012,502.149994,490.75,492.700012,446.15036,451232
7/19/2017,494.5,494.700012,485,489.950012,443.660156,325980
7/20/2017,490,490,483.524994,484.5,438.725037,264220
7/21/2017,485.5,491.25,485.5,489.950012,443.660156,240060
7/24/2017,490.549988,496.875,490.549988,495.600006,448.776337,973724
7/25/2017,495.5,499.5,493.125,497.075012,450.112,256324
7/26/2017,498,499.5,495.549988,496.875,449.930847,2400194
7/27/2017,497,501.875,484,486.149994,440.219147,411638
7/28/2017,490,501,481.5,498.924988,451.787201,895404
7/31/2017,498.924988,510.5,493.674988,505.649994,457.876831,624104
8/1/2017,503.5,508.475006,499.225006,502.5,455.024414,160286
8/2/2017,502.5,506,494.100006,496.225006,449.342285,185074
8/3/2017,496.225006,499.399994,490.5,491.799988,445.335358,153692
8/4/2017,492.600006,494.299988,488.649994,492.674988,446.127686,139790
8/7/2017,491,491.825012,483,484.075012,438.34024,209958
8/8/2017,485,485.524994,477.774994,482.299988,436.73291,209132
8/9/2017,483.125,486.799988,482.274994,484.725006,438.928802,169138
8/10/2017,485.950012,494,485,491.25,444.837341,520170
8/11/2017,488.5,497.799988,484.774994,493.875,447.214325,308390
8/14/2017,492.575012,493.875,488.149994,489.725006,443.45639,155610
8/16/2017,492,493.049988,485,488.399994,442.256592,180476
8/17/2017,505,514.450012,499,510.575012,462.336517,1064390
8/18/2017,510.75,510.75,442.200012,461.549988,417.943359,16314852
8/21/2017,464.5,464.5,435,436.75,395.486389,8953398
8/22/2017,446.25,448.5,430.75,438.575012,397.138947,3935926
8/23/2017,440.549988,452,437.274994,447.25,404.994385,4242936
8/24/2017,453.5,459.399994,451.174988,456.25,413.144073,2608354
8/28/2017,473.5,476.75,468.950012,470.575012,426.115692,2843418
8/29/2017,471.700012,471.700012,463,463.774994,419.958099,1207644
8/30/2017,467.549988,469.774994,462,463.325012,419.550629,808332
8/31/2017,464,466.350006,456.350006,457.649994,414.411804,1989498
9/1/2017,457.600006,463.100006,455.125,460.049988,416.585052,596990
9/4/2017,460.625,460.875,446.799988,450.649994,408.073151,1174168
9/5/2017,451.674988,452.25,448.625,450.549988,407.982574,694832
9/6/2017,449.5,450,445.125,447.850006,405.53772,878668
9/7/2017,449,450.424988,446.274994,447.774994,405.469757,560664
9/8/2017,448.049988,449,441.125,442.200012,400.421478,918058
9/11/2017,445,446.100006,437,439.274994,397.772827,688154
9/12/2017,440.5,443.774994,439.524994,441.924988,400.172485,533994
9/13/2017,442.5,443.875,440.5,441.774994,400.036621,817926
9/14/2017,443.200012,448.149994,440.799988,446.149994,403.998291,543606
9/15/2017,447.5,456.125,446.5,454.299988,411.378296,1018120
9/18/2017,455,458.975006,453.25,454.225006,411.310394,554976
9/19/2017,455.049988,457.700012,451.825012,455.649994,412.600739,349404
9/20/2017,457.649994,458,453.774994,456,412.917694,244496
9/21/2017,456.25,457.625,454.225006,454.774994,411.808441,279182
9/22/2017,454.100006,454.950012,444.200012,449.024994,406.601654,408774
9/25/2017,450.5,451.075012,445,448.325012,405.967834,311188
9/26/2017,448,454.024994,447.25,453.225006,410.404877,1044498
9/27/2017,452.5,453.975006,447.549988,449.325012,406.873352,270988
9/28/2017,449,451.975006,446.524994,447.850006,405.53772,222804
9/29/2017,450,451.125,447.549988,449.375,406.91861,483982
10/3/2017,454,455.825012,451,451.975006,409.272919,212234
10/4/2017,451.975006,452.475006,448.725006,449.899994,407.394012,199136
10/5/2017,449.5,452.600006,449.350006,451.549988,408.888062,236624
10/6/2017,453.299988,460.299988,451.524994,459.725006,416.290771,406128
10/9/2017,461,464.299988,457.149994,461.825012,418.192383,240892
10/10/2017,470,472.924988,464.549988,467.799988,423.602814,521040
10/11/2017,468,468.850006,464.075012,465.299988,421.33905,343744
10/12/2017,465,467.325012,460,463.575012,419.777039,671688
10/13/2017,465.024994,467,463.799988,465.950012,421.927673,2456158
10/16/2017,467.5,471,466.75,469.649994,425.278046,440212
10/17/2017,467.5,468.700012,465.125,465.725006,421.723907,384966
10/18/2017,464.5,465,461.625,462.225006,418.554596,371582
10/19/2017,465,466.674988,462.924988,463.549988,419.754333,201534
10/23/2017,464.100006,471.399994,464.100006,469.825012,425.436554,526916
10/24/2017,472.5,473.75,462,463.375,419.595917,891450
10/25/2017,460,472.075012,457.625,467.700012,423.512268,832100
10/26/2017,470.075012,475.174988,470.075012,473.75,428.990692,1054584
10/27/2017,477.5,478.524994,472.5,473.725006,428.968079,798798
10/30/2017,477,477.5,470.5,472.325012,427.700348,1028592
10/31/2017,461.700012,465.174988,460,460.825012,423.109558,424808
11/1/2017,462,464.475006,461,463.125,425.221283,235336
11/2/2017,462,463.274994,459.899994,461.450012,423.68338,216208
11/3/2017,461.350006,464.700012,459,463.325012,425.404968,149680
11/6/2017,462.5,467.424988,461.174988,464.299988,426.30011,244478
11/7/2017,464.25,479.899994,463.5,477.850006,438.741119,831458
11/8/2017,479.125,480.75,473.649994,475.975006,437.019623,317116
11/9/2017,479.25,481,474.575012,477.299988,438.236145,289006
11/10/2017,477.299988,481.375,475.100006,480.299988,440.990662,194860
11/13/2017,480.299988,484.450012,474.549988,475.899994,436.950745,2551688
11/14/2017,475,477.200012,472,474.725006,435.871948,149232
11/15/2017,473.5,476.725006,472.5,475.975006,437.019623,168822
11/16/2017,475.575012,497.725006,474.424988,494.299988,453.844849,1291582
11/17/2017,494.899994,494.899994,481.5,485.475006,445.742096,594360
11/20/2017,484.850006,485,478.674988,480.674988,441.33493,291142
11/21/2017,480.674988,485.774994,479.825012,483.200012,443.65329,203988
11/22/2017,482.5,485.424988,481.25,483.149994,443.607391,163740
11/23/2017,485,497.174988,484.924988,495.700012,455.130219,623972
11/24/2017,494.549988,509.600006,494.549988,504.975006,463.646179,982538
11/27/2017,500,502.5,497,498.75,457.930664,344912
11/28/2017,498.450012,500.075012,490.75,492.25,451.962616,306144
11/29/2017,494.5,496,490.75,491.649994,451.411682,127168
11/30/2017,494.5,494.899994,483.674988,487.475006,447.578461,256982
12/1/2017,488.75,491.5,478.225006,479.25,440.026581,287040
12/4/2017,491.5,498.475006,484.825012,492.649994,452.329834,810002
12/5/2017,493,501.299988,489.649994,492.200012,451.916687,618270
12/6/2017,499.5,499.5,492,495,454.487579,282000
12/7/2017,493.75,501.075012,491.200012,500.049988,459.124207,438474
12/8/2017,500.049988,503.424988,498.024994,500.774994,459.789917,390584
12/11/2017,498.5,502.5,497.5,501.75,460.685059,188114
12/12/2017,501.5,507,500,505.549988,464.174072,322322
12/13/2017,506,509,499.5,501.725006,460.66217,282548
12/14/2017,502.625,508,500.024994,506.225006,464.793884,247814
12/15/2017,507.5,513,505.5,511.725006,469.84375,376676
